PUBLISHER,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Bayesian_Rank,Pub_Impr_Rank,RPM_Rank,Agg_Rank,Clean_Agg_Rank
Caden Lane,Liquid I.V.,13529,35.0,0.0,64,1575.0,116.42,0.0047,24.94,0.7725368495226695,6.0,5.0,10.0,8.0,6.0
Caden Lane,Little Words Project,16129,15.0,10.0,402,5500.0,341.0,0.0249,13.27,0.42856453372201897,13.0,5.0,5.0,9.0,7.0
Caden Lane,True Classic,13313,45.0,0.0,10,360.0,27.04,0.0008,25.87,0.8232188190777725,5.0,5.0,15.0,10.0,8.0
Caden Lane,Love Your Melon,3211,30.0,19.0,4,98.8,30.77,0.0012,21.85,0.7267826288406034,7.0,5.0,14.0,10.5,9.0
Caden Lane,biom,2415,30.0,15.0,6,105.0,43.48,0.0025,18.75,0.6299072366960434,9.0,5.0,12.0,10.5,10.0
Caden Lane,Solly Baby,3001,18.0,12.0,12,216.0,71.98,0.004,18.0,0.5810351651109587,10.0,5.0,11.0,10.5,11.0
Caden Lane,Coterie,9361,17.0,0.0,161,1716.0,183.31,0.0172,10.66,0.29232024093361775,16.0,5.0,6.0,11.0,12.0
Caden Lane,"Dermaclara, LLC",3436,15.0,10.0,34,435.0,126.6,0.0099,12.17,0.3431325231425621,15.0,5.0,9.0,12.0,13.0
Caden Lane,Afloral,3620,30.0,20.0,1,20.0,5.52,0.0003,24.07,0.6787455235190207,8.0,5.0,19.0,13.5,14.0
Caden Lane,Dollar Shave Club,2121,30.0,5.0,5,50.0,23.57,0.0024,13.45,0.4892854040174909,12.0,5.0,16.0,14.0,15.0
Caden Lane,Tubby Todd Bath Co.,17857,14.0,6.0,687,3173.0,177.69,0.0385,4.66,0.09585219649217641,20.0,5.0,8.0,14.0,16.0
Caden Lane,Laura Geller,26984,15.0,0.0,46,495.0,18.34,0.0017,12.3,0.39417164589708187,14.0,5.0,17.0,15.5,17.0
Caden Lane,Newton Baby,7160,3.0,0.0,81,222.0,31.01,0.0113,2.61,0.056975588096180384,21.0,5.0,13.0,17.0,18.0
Caden Lane,Sol de Janeiro,3385,20.0,10.0,6,10.0,2.95,0.0018,10.18,0.2509821712983966,17.0,5.0,20.0,18.5,19.0
Caden Lane,Beyond Polish,3467,8.0,0.0,6,40.0,11.54,0.0017,6.62,0.15401025126210216,19.0,5.0,18.0,18.5,20.0
Caden Lane,Dr. Squatch,3468,25.0,1.0,1,1.0,0.29,0.0003,10.24,0.202843711690493,18.0,5.0,21.0,19.5,21.0
Caden Lane,MANSCAPED,6099,0.0,0.0,1,0.01,0.0,0.0002,0.01,0.00917014971476008,22.0,5.0,22.0,22.0,22.0
Caden Lane,120/Life,3313,,,0,0.0,0.0,0.0,20.0,0.0,23.0,5.0,23.0,23.0,23.0
Caden Lane,UNTUCKit,7028,,,0,0.0,0.0,0.0,30.67,0.0,24.0,5.0,24.0,24.0,24.0
Caden Lane,AAVRANI,2830,,,0,0.0,0.0,0.0,60.0,0.0,25.0,5.0,25.0,25.0,25.0
