client_event_time,client_order_time,EVENT_CLASSIFICATION,CONVERSION_TYPE,CUSTOMER_TYPE,ATTRIBUTION_METHOD,DAYS_TO_ATTRIBUTION,BILLABLE_AMOUNT,event_distance,order_distance,avg_distance,cadenlane_order_number,cadenlane_northbeam_platform,cadenlane_source,cadenlane_order_time,cadenlane_event_time,cadenlane_attribution_days
2024-01-03 16:19:32.333000+00:00,2024-01-06 16:52:57+00:00,display,cross-sell,returning,consumer_hash,3,20.0,3935.509,1901.0,2918.2545,2348233,MNTN,mntn,2024-01-06 17:24:38+00:00,2024-01-03 17:25:07.842000+00:00,2
2024-01-21 14:44:18.811000+00:00,2024-01-24 02:05:35+00:00,display,cross-sell,returning,direct_email_match,3,20.0,11111.475,5981.0,8546.2375,2384461,Google Ads,adwords,2024-01-24 00:25:54+00:00,2024-01-21 17:49:30.286000+00:00,2
2024-01-21 15:46:10.892000+00:00,2024-01-21 15:47:54+00:00,display,cross-sell,new,device_identifier_hash,0,32.0,109.46,25.0,67.22999999999999,2379110,Organic,direct,2024-01-21 15:48:19+00:00,2024-01-21 15:48:00.352000+00:00,0
2023-12-31 16:19:36.640000+00:00,2024-01-07 00:54:21+00:00,display,cross-sell,returning,order_mapping_hash,7,20.0,9797.801,1446.0,5621.9005,2349166,Organic,direct,2024-01-07 01:18:27+00:00,2023-12-31 13:36:18.839000+00:00,6
2023-12-31 16:20:54.290000+00:00,2024-01-01 04:12:02+00:00,display,cross-sell,returning,order_mapping_hash,1,20.0,3275.825,3053.0,3164.4125,2336132,Klaviyo,utm medium - email,2024-01-01 03:21:09+00:00,2023-12-31 17:15:30.115000+00:00,0
2023-12-31 16:29:56.355000+00:00,2024-01-06 21:46:15+00:00,display,cross-sell,new,order_mapping_hash,6,32.0,11013.505,9258.0,10135.752499999999,2348436,Organic,direct,2024-01-06 19:11:57+00:00,2023-12-31 13:26:22.850000+00:00,6
2023-12-31 16:41:33.512000+00:00,2024-01-03 15:38:34+00:00,display,cross-sell,returning,consumer_hash,3,20.0,7898.876,2121.0,5009.938,2341333,Facebook Ads,fb,2024-01-03 15:03:13+00:00,2023-12-31 14:29:54.636000+00:00,3
2023-12-31 17:06:16.453000+00:00,2024-01-06 19:19:04+00:00,display,cross-sell,new,direct_email_match,6,32.0,13193.603,427.0,6810.3015,2348436,Organic,direct,2024-01-06 19:11:57+00:00,2023-12-31 13:26:22.850000+00:00,6
2023-12-31 17:06:16.453000+00:00,2024-01-06 19:24:12+00:00,display,cross-sell,returning,consumer_hash,6,20.0,13193.603,735.0,6964.3015,2348436,Organic,direct,2024-01-06 19:11:57+00:00,2023-12-31 13:26:22.850000+00:00,6
2023-12-31 17:22:12.012000+00:00,2024-01-07 14:08:05+00:00,display,cross-sell,returning,order_mapping_hash,7,20.0,807.777,18308.0,9557.888500000001,2350629,Rakuten,utm medium -,2024-01-07 19:13:13+00:00,2023-12-31 17:08:44.235000+00:00,7
2023-12-31 17:37:22.694000+00:00,2024-01-04 04:11:22+00:00,display,cross-sell,returning,order_mapping_hash,4,20.0,1568.511,8445.0,5006.7555,2342753,Facebook Organic,referral,2024-01-04 01:50:37+00:00,2023-12-31 17:11:14.183000+00:00,3
2023-12-31 17:48:51.713000+00:00,2024-01-01 19:22:19+00:00,display,cross-sell,returning,order_mapping_hash,1,20.0,118.412,7115.0,3616.706,2337173,Organic,direct,2024-01-01 17:23:44+00:00,2023-12-31 17:50:50.125000+00:00,0
2023-12-31 18:09:49.069000+00:00,2024-01-03 02:58:24+00:00,display,cross-sell,returning,consumer_hash,3,20.0,10741.281,25850.0,18295.6405,2339924,Klaviyo,utm medium - email,2024-01-02 19:47:34+00:00,2023-12-31 15:10:47.788000+00:00,2
2023-12-31 18:12:51.429000+00:00,2024-01-01 15:56:55+00:00,display,cross-sell,returning,consumer_hash,1,20.0,637.122,5209.0,2923.061,2337173,MNTN,mntn,2024-01-01 17:23:44+00:00,2023-12-31 18:02:14.307000+00:00,0
2023-12-31 18:34:51.007000+00:00,2024-01-01 14:17:50+00:00,display,cross-sell,new,direct_email_match,1,32.0,602.648,1532.0,1067.324,2336631,Organic,direct,2024-01-01 13:52:18+00:00,2023-12-31 18:24:48.359000+00:00,0
2024-01-03 17:27:32.713000+00:00,2024-01-06 14:12:21+00:00,display,cross-sell,new,consumer_hash,3,32.0,144.871,11537.0,5840.9355,2348233,MNTN,mntn,2024-01-06 17:24:38+00:00,2024-01-03 17:25:07.842000+00:00,2
2024-01-03 17:31:37.760000+00:00,2024-01-07 23:42:54+00:00,display,cross-sell,returning,consumer_hash,4,20.0,972.219,9243.0,5107.6095000000005,2351527,Organic,direct,2024-01-08 02:16:57+00:00,2024-01-03 17:15:25.541000+00:00,4
2024-01-03 17:43:37.479000+00:00,2024-01-09 21:52:32+00:00,display,cross-sell,returning,direct_email_match,6,20.0,4629.788,4697.0,4663.394,2354811,MNTN,mntn,2024-01-09 23:10:49+00:00,2024-01-03 19:00:47.267000+00:00,6
2024-01-03 17:45:49.009000+00:00,2024-01-04 21:54:44+00:00,display,cross-sell,new,order_mapping_hash,1,32.0,1335.529,2216.0,1775.7645,2344602,Organic,direct,2024-01-04 21:17:48+00:00,2024-01-03 17:23:33.480000+00:00,1
2024-01-03 17:48:56.334000+00:00,2024-01-04 12:33:03+00:00,display,cross-sell,returning,consumer_hash,1,20.0,2578.494,10213.0,6395.747,2343761,Google Ads,adwords,2024-01-04 15:23:16+00:00,2024-01-03 17:05:57.840000+00:00,0
2024-01-03 17:53:41.684000+00:00,2024-01-04 02:28:38+00:00,display,cross-sell,new,direct_email_match,1,32.0,12880.1,130.0,6505.05,2342898,MNTN,mntn,2024-01-04 02:26:28+00:00,2024-01-03 14:19:01.584000+00:00,0
2024-01-03 18:03:51.163000+00:00,2024-01-08 02:11:44+00:00,display,cross-sell,returning,order_mapping_hash,5,20.0,2905.622,313.0,1609.311,2351527,Organic,direct,2024-01-08 02:16:57+00:00,2024-01-03 17:15:25.541000+00:00,4
