order_number,northbeam_platform,source,order_time,event_time,attribution_days,total_tp,tp_seq
2388447,Facebook Ads,fb,2024-01-26 01:21:37+00:00,2024-01-13 02:45:16.359000+00:00,12,18,2
2388447,Facebook Ads,fb,2024-01-26 01:21:37+00:00,2024-01-14 19:09:46.528000+00:00,11,18,3
2388447,Facebook Ads,fb,2024-01-26 01:21:37+00:00,2024-01-14 21:13:40.805000+00:00,11,18,4
2388447,Facebook Ads,fb,2024-01-26 01:21:37+00:00,2024-01-15 00:48:08.815000+00:00,11,18,5
2388447,Facebook Ads,fb,2024-01-26 01:21:37+00:00,2024-01-16 13:41:30.417000+00:00,9,18,6
2388447,Facebook Ads,fb,2024-01-26 01:21:37+00:00,2024-01-17 01:07:09.927000+00:00,9,18,7
2388447,Facebook Ads,fb,2024-01-26 01:21:37+00:00,2024-01-18 02:11:40.605000+00:00,7,18,8
2388447,Facebook Ads,fb,2024-01-26 01:21:37+00:00,2024-01-18 02:55:11.178000+00:00,7,18,9
2388447,Klaviyo,utm medium - email,2024-01-26 01:21:37+00:00,2024-01-19 00:19:32.704000+00:00,7,18,10
2388447,Facebook Ads,fb,2024-01-26 01:21:37+00:00,2024-01-19 01:21:40.326000+00:00,6,18,11
2388447,Klaviyo,utm medium - email,2024-01-26 01:21:37+00:00,2024-01-20 05:36:40.108000+00:00,5,18,12
2388447,Klaviyo,utm medium - email,2024-01-26 01:21:37+00:00,2024-01-20 20:20:22.941000+00:00,5,18,13
2388447,Klaviyo,utm medium - email,2024-01-26 01:21:37+00:00,2024-01-23 03:41:43.194000+00:00,2,18,14
2388447,Google Ads,adwords,2024-01-26 01:21:37+00:00,2024-01-25 16:32:14.653000+00:00,0,18,15
2388447,Google Ads,adwords,2024-01-26 01:21:37+00:00,2024-01-25 17:22:00.537000+00:00,0,18,16
2388447,Google Ads,adwords,2024-01-26 01:21:37+00:00,2024-01-26 01:16:30.210000+00:00,0,18,17
2388447,Unattributed,unattributed,2024-01-26 01:21:37+00:00,2024-01-26 01:21:37+00:00,0,18,18
2388469,Klaviyo,utm medium - email,2024-01-26 01:34:03+00:00,2024-01-26 01:27:28.557000+00:00,0,2,1
2388469,Unattributed,unattributed,2024-01-26 01:34:03+00:00,2024-01-26 01:34:03+00:00,0,2,2
2388506,Google Ads,adwords,2024-01-26 01:52:49+00:00,2024-01-16 01:04:00.506000+00:00,10,4,1
2388506,MNTN,mntn,2024-01-26 01:52:49+00:00,2024-01-16 13:26:20.128000+00:00,9,4,2
2388506,MNTN,mntn,2024-01-26 01:52:49+00:00,2024-01-20 01:50:35.193000+00:00,6,4,3
2388506,Unattributed,unattributed,2024-01-26 01:52:49+00:00,2024-01-26 01:52:49+00:00,0,4,4
2388574,Facebook Ads,fb,2024-01-26 02:23:27+00:00,2024-01-18 21:58:49.735000+00:00,7,4,1
2388574,Facebook Ads,fb,2024-01-26 02:23:27+00:00,2024-01-20 16:18:58.257000+00:00,5,4,2
2388574,Facebook Ads,fb,2024-01-26 02:23:27+00:00,2024-01-26 00:37:18.375000+00:00,0,4,3
2388574,Unattributed,unattributed,2024-01-26 02:23:27+00:00,2024-01-26 02:23:27+00:00,0,4,4
2388582,Unattributed,unattributed,2024-01-26 02:26:40+00:00,2024-01-26 02:26:40+00:00,0,1,1
2388621,Unattributed,unattributed,2024-01-26 02:45:16+00:00,2024-01-26 02:45:16+00:00,0,1,1
2388682,Disco,utm medium - disco_paid,2024-01-26 03:15:57+00:00,2024-01-26 02:57:46.010000+00:00,0,2,1
2388682,Unattributed,unattributed,2024-01-26 03:15:57+00:00,2024-01-26 03:15:57+00:00,0,2,2
2388705,Organic Search,referral,2024-01-26 03:26:31+00:00,2024-01-26 03:09:28.097000+00:00,0,2,1
